(4,9.780737543252599)
(16,27.11099305555558)
(24,72.5065043125)
(8,12.97732370242215)
(12,28.74526111111112)
(20,62.752081361111124)
(13,61.05124999999997)
(21,32.09196286523438)
(29,133.90705000000003)
(1,11.023405555555568)
(17,21.45124999999998)
(5,87.29436224489798)
(22,56.96420555555559)
(30,316.33670450000017)
(6,96.08680916000003)
(18,39.40762222222225)
(26,159.16126250000008)
(2,13.53900030246914)
(19,22.610848816568055)
(15,41.92338200000004)
(11,23.240408000000002)
(27,42.873800000000045)
(23,20.103340102493075)
(3,5.159050103305787)
